Subject,Predicate,Object
李仁清,掌握,立体传拓、野外拓印抢救
立体传拓、野外拓印抢救,应用于,文化传承
李仁清,体现,传承奉献
李仁清,体现,精益求精
李仁清,体现,创新突破
李仁清,属于,文化传承
李仁清,采用,传承型
李仁清,使用,师徒
李仁清,风险等级,低
李仁清,精度等级,高
李凯军,从事,模具钳工
李凯军,掌握,0.01mm精度正十二面体锉削、生鸡蛋壳刻字
0.01mm精度正十二面体锉削、生鸡蛋壳刻字,应用于,装备制造
李凯军,体现,精益求精
李凯军,体现,追求完美
追求完美,属于,装备制造
李凯军,体现,勇担责任
勇担责任,属于,装备制造
李凯军,属于,装备制造
李凯军,采用,改进型
李凯军,使用,师徒
李凯军,风险等级,低
李凯军,精度等级,极高
李刚,从事,盾构机电气系统工程师
李刚,掌握,马蹄形盾构机4万根电缆设计、智能检测装置
马蹄形盾构机4万根电缆设计、智能检测装置,应用于,装备制造
李刚,体现,自主创新
李刚,体现,精益求精
李刚,体现,责任担当
李刚,属于,装备制造
李刚,采用,突破性
李刚,使用,自学
李刚,风险等级,中
李刚,精度等级,极高
李峰,从事,火箭惯组铣工
李峰,掌握,5微米公差返工、200倍显微镜磨刀
5微米公差返工、200倍显微镜磨刀,应用于,航天军工
李峰,体现,精益求精
李峰,体现,责任担当
李峰,体现,坚守执着
李峰,属于,航天军工
李峰,采用,改进型
李峰,使用,自学
李峰,风险等级,高
李峰,精度等级,极高
杨金安,从事,电炉炼钢工
杨金安,掌握,"碳含量""火眼金睛""判断、特种钢研发"
"碳含量""火眼金睛""判断、特种钢研发",应用于,能源电力
杨金安,体现,坚守执着
坚守执着,属于,能源电力
杨金安,体现,精益求精
杨金安,体现,产业报国
产业报国,属于,能源电力
杨金安,属于,能源电力
杨金安,采用,突破性
杨金安,使用,师徒
杨金安,风险等级,高
杨金安,精度等级,高
毛腊生,从事,导弹铸造工
毛腊生,掌握,砂型铸造、舱体合金研制
砂型铸造、舱体合金研制,应用于,航天军工
毛腊生,体现,坚守执着
毛腊生,体现,精益求精
毛腊生,体现,爱国奉献
爱国奉献,属于,航天军工
毛腊生,属于,航天军工
毛腊生,采用,改进型
毛腊生,使用,师徒
毛腊生,风险等级,高
毛腊生,精度等级,极高
洪海涛,从事,火箭点火器加工
洪海涛,掌握,0.02mm级点火孔、车削鲜鸡蛋绝活
0.02mm级点火孔、车削鲜鸡蛋绝活,应用于,装备制造
洪海涛,体现,精益求精
洪海涛,体现,责任担当
洪海涛,体现,持续学习
持续学习,属于,装备制造
洪海涛,属于,装备制造
洪海涛,采用,改进型
洪海涛,使用,自学
洪海涛,风险等级,高
洪海涛,精度等级,极高
王树军,从事,发动机设备维修工
王树军,掌握,垂直投影逆向复原法、光栅尺气密改造
垂直投影逆向复原法、光栅尺气密改造,应用于,装备制造
王树军,体现,创新突破
王树军,体现,精益求精
王树军,体现,激情奋斗
激情奋斗,属于,装备制造
王树军,属于,装备制造
王树军,采用,突破性
王树军,使用,自学
王树军,风险等级,中
王树军,精度等级,高
王津,从事,古钟表修复师
王津,掌握,修旧如旧、上千零件复杂机械复原
修旧如旧、上千零件复杂机械复原,应用于,文化传承
王津,体现,精益求精
王津,体现,传承奉献
王津,体现,坚守执着
王津,属于,文化传承
王津,采用,传承型
王津,使用,师徒
王津,风险等级,低
王津,精度等级,高
王进平,从事,工会工作者
王进平,掌握,新就业形态劳动者建会、职工权益维护
新就业形态劳动者建会、职工权益维护,应用于,其他
王进平,体现,奉献服务
奉献服务,属于,其他
王进平,体现,责任担当
责任担当,属于,其他
王进平,体现,耐心细致
耐心细致,属于,其他
王进平,属于,其他
王进平,采用,传承型
王进平,使用,院校
王进平,风险等级,低
王进平,精度等级,中
竺士杰,从事,桥吊司机
竺士杰,掌握,竺士杰桥吊操作法、钟摆原理稳关
竺士杰桥吊操作法、钟摆原理稳关,应用于,装备制造
竺士杰,体现,精益求精
竺士杰,体现,创新突破
竺士杰,体现,责任担当
竺士杰,属于,装备制造
竺士杰,采用,改进型
竺士杰,使用,师徒
竺士杰,风险等级,中
竺士杰,精度等级,高
胡胜,从事,雷达零件数控车工
胡胜,掌握,0.01mm精度加工、波纹管一次车削成形
0.01mm精度加工、波纹管一次车削成形,应用于,装备制造
胡胜,体现,精益求精
胡胜,体现,创新突破
胡胜,体现,持续学习
胡胜,属于,装备制造
胡胜,采用,改进型
胡胜,使用,师徒
胡胜,风险等级,中
胡胜,精度等级,极高
艾爱国,从事,焊接工人
艾爱国,掌握,氩弧焊紫铜、焊工人才培养
氩弧焊紫铜、焊工人才培养,应用于,装备制造
艾爱国,体现,精益求精
艾爱国,体现,无私奉献
无私奉献,属于,装备制造
艾爱国,体现,坚守一线
坚守一线,属于,装备制造
艾爱国,属于,装备制造
艾爱国,采用,改进型
艾爱国,使用,师徒
艾爱国,风险等级,中
艾爱国,精度等级,高
裴永斌,从事,弹性油箱车工
裴永斌,掌握,金手指盲测壁厚、0.01mm精度感知
金手指盲测壁厚、0.01mm精度感知,应用于,能源电力
裴永斌,体现,精益求精
裴永斌,体现,敢打硬仗
敢打硬仗,属于,能源电力
裴永斌,体现,传承奉献
传承奉献,属于,能源电力
裴永斌,属于,能源电力
裴永斌,采用,改进型
裴永斌,使用,师徒
裴永斌,风险等级,中
裴永斌,精度等级,极高
郑春辉,从事,木雕艺术家
郑春辉,掌握,《清明上河图》12米木雕、山水木雕创新
《清明上河图》12米木雕、山水木雕创新,应用于,文化传承
郑春辉,体现,精益求精
郑春辉,体现,传承创新
传承创新,属于,文化传承
郑春辉,体现,家国情怀
家国情怀,属于,文化传承
郑春辉,属于,文化传承
郑春辉,采用,传承型
郑春辉,使用,师徒
郑春辉,风险等级,低
郑春辉,精度等级,极高
陈兆海,从事,工程测量员
陈兆海,掌握,人工打水砣厘米级精度、多波束三维扫测
人工打水砣厘米级精度、多波束三维扫测,应用于,基建工程
陈兆海,体现,精益求精
陈兆海,体现,执着专注
执着专注,属于,基建工程
陈兆海,体现,勇于创新
勇于创新,属于,基建工程
陈兆海,属于,基建工程
陈兆海,采用,改进型
陈兆海,使用,自学
陈兆海,风险等级,高
陈兆海,精度等级,极高
陈行行,从事,核武器数控加工
陈行行,掌握,0.02mm细刀头打孔、产品合格率提升至100%
0.02mm细刀头打孔、产品合格率提升至100%,应用于,航天军工
陈行行,体现,精益求精
陈行行,体现,不畏难关
不畏难关,属于,航天军工
陈行行,体现,手艺接棒
手艺接棒,属于,航天军工
陈行行,属于,航天军工
陈行行,采用,改进型
陈行行,使用,自学
陈行行,风险等级,高
陈行行,精度等级,极高
